Versa Service Name,Protocol,Port,Has Palo Alto Match,Palo Alto Service(s),Palo Alto Count
3com-amp3,tcp,629,No,,0
3com-amp3,udp,629,No,,0
3com-tsmux,tcp,106,No,,0
3com-tsmux,udp,106,No,,0
914c-g,tcp,211,No,,0
914c-g,udp,211,No,,0
914c/g,tcp,211,No,,0
914c/g,udp,211,No,,0
9pfs,tcp,564,No,,0
9pfs,udp,564,No,,0
CAIlic,tcp,216,No,,0
CAIlic,udp,216,No,,0
ESP,ESP,0,No,,0
GRE,any,0,No,,0
ICMP,ICMP,0,No,,0
IGMP,any,0,No,,0
L2TP,any,0,No,,0
NetBIOS,TCP,137,No,,0
NetBIOS,TCP,138,No,,0
NetBIOS,TCP,139,No,,0
NetBIOS,UDP,137,No,,0
NetBIOS,UDP,138,No,,0
NetBIOS,UDP,139,No,,0
OSPF,any,0,No,,0
PIM,any,0,No,,0
RADIUS,TCP,1812,No,,0
RADIUS,UDP,1812,No,,0
RIP,UDP,520,No,,0
SCTP,any,0,No,,0
SMTPS,TCP,587,No,,0
TCP,TCP,0,No,,0
UDP,UDP,0,No,,0
acap,tcp,674,No,,0
acap,udp,674,No,,0
acas,tcp,62,No,,0
acas,udp,62,No,,0
accessbuilder,tcp,888,No,,0
accessbuilder,udp,888,No,,0
accessnetwork,tcp,699,No,,0
accessnetwork,udp,699,No,,0
aci,tcp,187,No,,0
aci,udp,187,No,,0
acmaint-dbd,udp,774,No,,0
acmaint-transd,udp,775,No,,0
acmaint_dbd,udp,774,No,,0
acmaint_transd,udp,775,No,,0
acp,tcp,599,No,,0
acp,udp,599,No,,0
acr-nema,tcp,104,No,,0
acr-nema,udp,104,No,,0
aed-512,tcp,149,No,,0
aed-512,udp,149,No,,0
afpovertcp,tcp,548,No,,0
afpovertcp,udp,548,No,,0
agentx,tcp,705,No,,0
agentx,udp,705,No,,0
alpes,tcp,463,No,,0
alpes,udp,463,No,,0
ampr-rcmd,tcp,459,No,,0
ampr-rcmd,udp,459,No,,0
anet,tcp,212,No,,0
anet,udp,212,No,,0
ansanotify,tcp,116,No,,0
ansanotify,udp,116,No,,0
ansatrader,tcp,124,No,,0
ansatrader,udp,124,No,,0
aodv,tcp,654,No,,0
aodv,udp,654,No,,0
apertus-ldp,tcp,539,No,,0
apertus-ldp,udp,539,No,,0
apex-edge,tcp,913,No,,0
apex-edge,udp,913,No,,0
apex-mesh,tcp,912,No,,0
apex-mesh,udp,912,No,,0
appleqtcsrvr,tcp,545,No,,0
appleqtcsrvr,udp,545,No,,0
appleqtc,tcp,458,No,,0
appleqtc,udp,458,No,,0
applix,udp,999,No,,0
arcisdms,tcp,262,No,,0
